                              REPORTE DE PEDIDOS
========================================================================================================================================================================================================
     CODIGO       FECHA DEL PEDIDO          DNI       CANTIDAD
     AWB-345          25/08/2023          52097922        5
     FCN-617          25/08/2023          79140840        2
     AQS-362          25/08/2023          87800799        2
     QFP-254          25/08/2023          11602775        4
     DIQ-718          25/08/2023          62566305        4
     BIT-434          25/08/2023          58187172        6
     TMN-884          25/08/2023          45783712        5
     OXP-732          25/08/2023          19829266        2
     SNY-500          25/08/2023          40348917        4
     QUU-384          25/08/2023          50375303        2
     MTF-868          25/08/2023          83236386        2
     VXS-438          25/08/2023          87800799        2
     VTV-269          25/08/2023          42798099        6
     IHG-413          25/08/2023          49087435        1
     SNY-500          25/08/2023          57263719        5
     GXF-122          25/08/2023          87800799        2
     BCN-855          25/08/2023          73786035        1
     JXD-139          26/08/2023          95161027        5
     FVQ-662          26/08/2023          57690875        4
     DUG-251          26/08/2023          94080926        2
     QJO-060          26/08/2023          45828535        6
     YMU-875          26/08/2023          27912250        3
     VRR-793          26/08/2023          42157219        6
     TYF-885          26/08/2023          54761731        1
     ADX-669          26/08/2023          83505958        1
     CJE-310          26/08/2023          77191257        3
     AFL-718          26/08/2023          59407188        5
     EBI-299          26/08/2023          24995742        1
     AFL-718          26/08/2023          40348917        3
     OPT-996          26/08/2023          83236386        2
     PVZ-181          26/08/2023          71378466        4
     WZD-331          26/08/2023          31611146        1
     RDT-761          26/08/2023          29337157        4
     TXM-139          26/08/2023          54761731        3
     KSO-608          26/08/2023          78757121        1
     CIM-038          26/08/2023          32904023        1
     FLJ-040          26/08/2023          90365520        6
     HFM-021          26/08/2023          78922174        5
     AQS-362          26/08/2023          26976877        3
     TYF-885          26/08/2023          73535476        4
     OQI-373          26/08/2023          13245501        6
     QVJ-982          26/08/2023          77484838        1
     VRR-793          26/08/2023          57263719        5
     CIM-038          26/08/2023          27912250        1
     JDQ-505          26/08/2023          54761731        4
     III-576          26/08/2023          42157219        6
     JXD-139          26/08/2023          79901434        2
     QRC-609          26/08/2023          78757121        4
     QTK-083          26/08/2023          86828079        3
     BCN-855          26/08/2023          99842319        1
     QFP-254          26/08/2023          11602775        1
     DFF-034          26/08/2023          17972674        4
     GBD-525          26/08/2023          86402303        3
     JFC-432          26/08/2023          79475585        5
     FLJ-040          26/08/2023          38637282        6
     TMN-884          26/08/2023          81114108        1
     AWB-345          26/08/2023          49087435        3
     CNQ-172          27/08/2023          63437380        2
     UWA-476          27/08/2023          26976877        4
     JDQ-505          27/08/2023          55552996        6
     XSD-310          27/08/2023          26233063        4
     BCK-361          27/08/2023          38637282        1
     XSD-310          27/08/2023          57690875        6
     AVM-258          27/08/2023          38913831        3
     QHC-492          27/08/2023          60574154        6
     SJD-818          27/08/2023          57263719        2
     FQG-293          27/08/2023          86828079        1
     MYC-756          27/08/2023          32565207        4
     QFP-254          27/08/2023          37110873        5
     AVM-258          27/08/2023          25171011        1
     UWA-476          27/08/2023          12663268        6
     ARS-231          27/08/2023          73185299        3
     KQQ-136          27/08/2023          17913944        4
     AWT-354          27/08/2023          41036366        2
     WZD-331          27/08/2023          11602775        3
     XLF-273          27/08/2023          73914283        1
     UWA-476          27/08/2023          54716824        6
     MMA-577          27/08/2023          67418025        5
     TMJ-043          27/08/2023          78078115        2
     DFF-034          27/08/2023          66409237        4
     KJX-387          27/08/2023          40112594        6
     KBY-991          27/08/2023          26976877        3
     XZR-640          27/08/2023          78757121        4
     KQA-580          27/08/2023          96659352        6
     JXD-139          27/08/2023          15561764        2
     KCO-488          27/08/2023          79140840        3
     UOD-420          27/08/2023          43877279        4
     BRD-969          27/08/2023          91897732        2
     QFP-254          27/08/2023          78922174        3
     VRR-793          27/08/2023          52097922        5
     HLR-109          27/08/2023          79140840        1
     LDR-510          27/08/2023          22777006        3
     YYU-726          27/08/2023          45877001        5
     OWN-701          27/08/2023          43053402        2
     ZAF-449          27/08/2023          87813843        4
     ISU-815          27/08/2023          84165595        3
     WZD-331          27/08/2023          22777006        2
     OQI-373          27/08/2023          90237332        1
     BCN-855          27/08/2023          89863424        4
     QFP-254          27/08/2023          13245501        5
     UJV-290          27/08/2023          63437380        5
     UXG-019          27/08/2023          95751208        4
     SSE-115          28/08/2023          71463316        4
     VXS-438          28/08/2023          57690875        3
     MTF-868          28/08/2023          42157219        5
     OXP-732          28/08/2023          23928045        3
     OPJ-039          28/08/2023          94080926        5
     RDT-761          28/08/2023          42157219        2
     DIQ-718          28/08/2023          79372768        6
     YUQ-590          28/08/2023          78922174        5
     OTH-462          28/08/2023          62324793        2
     CSZ-863          28/08/2023          73786035        4
     GXF-122          28/08/2023          32904023        3
     EUZ-452          28/08/2023          57263719        3
     OPT-996          28/08/2023          43877279        5
     MYC-756          28/08/2023          69975105        6
     GBD-525          28/08/2023          45828535        6
     DON-719          28/08/2023          80048864        3
     VRR-793          28/08/2023          26976877        4
     EBI-299          28/08/2023          42928709        5
     UWA-476          28/08/2023          59407188        6
     BRD-969          28/08/2023          79475585        6
     HFC-845          28/08/2023          71378466        6
     UWA-476          28/08/2023          71463316        3
     QFP-254          28/08/2023          40112594        2
     FQG-293          28/08/2023          80048864        1
     AQS-362          28/08/2023          77484838        1
     QTK-083          28/08/2023          95161027        1
     YOT-530          28/08/2023          35565959        2
     QTK-083          28/08/2023          43053402        6
     JJN-837          28/08/2023          32565207        5
     GLC-370          28/08/2023          24995742        3
     SSD-176          28/08/2023          43043986        5
     GXF-122          28/08/2023          79464412        5
     MTF-868          28/08/2023          76388967        5
     QRC-609          28/08/2023          89863424        6
     PJG-338          28/08/2023          85871751        2
     OTH-462          28/08/2023          86241107        2
     YJD-279          28/08/2023          26233063        3
     LYZ-614          28/08/2023          35584593        4
     CNQ-172          28/08/2023          66409237        4
     ZWF-661          28/08/2023          17972674        1
     TMN-884          28/08/2023          44679500        1
     YJD-279          28/08/2023          60574154        5
     QIL-029          28/08/2023          89148118        5
     QTK-083          28/08/2023          89298238        2
     YGV-332          29/08/2023          45828535        5
     ARS-231          29/08/2023          79464412        2
     FCN-617          29/08/2023          88956889        6
     TMN-884          29/08/2023          20864087        5
     ICX-503          29/08/2023          77484838        3
     RBE-789          29/08/2023          81114108        2
     UDR-957          29/08/2023          86241107        2
     KJX-387          29/08/2023          29847168        1
     KSO-608          29/08/2023          53166028        3
     CIM-038          29/08/2023          55552996        1
     YOT-530          29/08/2023          52097922        2
     BWD-036          29/08/2023          71463316        6
     OTW-288          29/08/2023          71463316        5
     QUU-384          29/08/2023          76388967        5
     BMJ-772          29/08/2023          44229880        3
     GBJ-693          29/08/2023          31193794        5
     TZY-323          29/08/2023          69639726        1
     WLL-607          29/08/2023          71378466        3
     SSD-176          29/08/2023          98140264        2
     VDD-853          29/08/2023          46462527        3
     VXS-438          29/08/2023          45877001        2
     QFR-958          29/08/2023          16552775        5
     AQS-362          29/08/2023          77642521        5
     ZEX-027          29/08/2023          53166028        1
     JJN-837          29/08/2023          25171011        3
     XOA-735          29/08/2023          95161027        4
     DFJ-952          29/08/2023          87800799        3
     XBD-314          29/08/2023          16151792        1
     ZVA-180          29/08/2023          62324793        1
     BZS-261          29/08/2023          87800799        2
     KBY-991          29/08/2023          43053402        2
     UTN-601          30/08/2023          19829266        3
     XSD-310          30/08/2023          89429489        6
     TKM-141          30/08/2023          23928045        5
     HFM-021          30/08/2023          62324793        5
     MTF-868          30/08/2023          45877001        6
     OQI-373          30/08/2023          69975105        6
     FQG-293          30/08/2023          15210391        2
     BTO-226          30/08/2023          15210391        2
     DEN-125          30/08/2023          50365593        5
     UTN-601          30/08/2023          96659352        3
     SSE-115          30/08/2023          87800799        6
     OQI-373          30/08/2023          35565959        5
     HLR-109          30/08/2023          85949265        5
     OFS-384          30/08/2023          73185299        3
     XZR-640          30/08/2023          62566305        5
     TKM-141          30/08/2023          32565207        4
     DFF-034          30/08/2023          32821689        3
     DEN-125          30/08/2023          48184351        2
     SNY-500          30/08/2023          86402303        6
     CSZ-863          30/08/2023          26290971        3
     BWD-036          30/08/2023          96258632        2
     EVN-510          30/08/2023          89863424        3
     KCO-488          30/08/2023          97403853        6
     VCL-867          30/08/2023          79140840        1
     YUQ-590          30/08/2023          97403853        4
     OFS-384          30/08/2023          83505958        5
     TMJ-043          30/08/2023          63437380        4
     OFS-384          30/08/2023          42928709        4
     BRD-969          31/08/2023          64394265        5
     IDO-503          31/08/2023          89148118        6
     GKG-558          31/08/2023          35584593        4
     YUQ-590          31/08/2023          81114108        5
     TZY-323          31/08/2023          45828535        4
     YZD-580          31/08/2023          48467976        5
     CNN-411          31/08/2023          42798099        6
     SSE-115          31/08/2023          73185299        3
     VJI-529          31/08/2023          86402303        6
     TXM-139          31/08/2023          87813843        1
     EUZ-452          31/08/2023          93845419        6
     PPX-620          31/08/2023          90237332        3
     UCX-285          31/08/2023          22777006        1
     TZY-323          31/08/2023          25171011        6
     QRC-609          31/08/2023          87800799        2
     JFC-432          31/08/2023          54716824        6
     XLF-273          31/08/2023          45783712        2
     CIM-038          31/08/2023          62324793        1
     LWG-915          31/08/2023          37110873        4
     ICX-503          31/08/2023          97403853        3
     BXY-119          31/08/2023          46462527        6
     HFC-845          31/08/2023          37110873        4
     YOT-530          31/08/2023          67418025        2
     KQQ-136          31/08/2023          54716824        1
     RDT-761          31/08/2023          71463316        4
     FQG-293          31/08/2023          13245501        2
     PFD-286          31/08/2023          69975105        6
     DIQ-718          31/08/2023          90365520        6
     QIL-029          01/09/2023          84165595        1
     JXD-139          01/09/2023          83236386        5
     QFP-254          01/09/2023          19829266        3
     XBD-314          01/09/2023          41036366        4
     TMJ-043          01/09/2023          40348917        1
     BMJ-772          01/09/2023          73185299        3
     KDA-627          01/09/2023          13245501        3
     FLW-631          01/09/2023          79140840        4
     OTH-462          01/09/2023          78922174        3
     RBE-789          01/09/2023          71984468        1
     KQA-580          01/09/2023          22280452        3
     ZVA-180          01/09/2023          43043986        5
     VRR-793          01/09/2023          77191257        6
     DFJ-952          01/09/2023          35565959        1
     DON-719          01/09/2023          42798099        5
     UXG-019          01/09/2023          86241107        2
     YUQ-590          01/09/2023          28390487        2
     DOV-560          01/09/2023          32904023        4
     ZWF-661          01/09/2023          96659352        4
     HFM-021          01/09/2023          87813843        3
     AWB-345          01/09/2023          78078115        4
     HFM-021          01/09/2023          49087435        2
     BCK-361          01/09/2023          89148118        1
     FVB-607          01/09/2023          31611146        4
     LDR-510          01/09/2023          77191257        5
     HFC-845          01/09/2023          17913944        1
     QVJ-982          01/09/2023          43488351        6
     YEZ-591          01/09/2023          89298238        4
     UXG-019          01/09/2023          79420973        5
     YYK-309          01/09/2023          16151792        6
     KWP-672          01/09/2023          93160528        1
     KWP-672          01/09/2023          50365593        3
     HFM-021          01/09/2023          84165595        6
     OXP-732          01/09/2023          91897732        5
     FVB-607          02/09/2023          89863424        1
     GXF-122          02/09/2023          79420973        3
     VZV-827          02/09/2023          86828079        5
     WZD-331          02/09/2023          79901434        6
     BXY-119          02/09/2023          77191257        2
     PFD-286          02/09/2023          79140840        5
     QUU-384          02/09/2023          40348917        2
     UXG-019          02/09/2023          33397650        6
     EBI-299          02/09/2023          57263719        4
     ISU-815          02/09/2023          20864087        4
     VCL-867          02/09/2023          66409237        6
     TZY-323          02/09/2023          37110873        1
     JFC-432          02/09/2023          45783712        6
     SSD-176          02/09/2023          88956889        4
     XSD-310          02/09/2023          41036366        4
     HLR-109          02/09/2023          53166028        3
     XLF-273          02/09/2023          79372768        5
     LDR-510          02/09/2023          66409237        4
     YJD-279          02/09/2023          20864087        6
     UWA-476          02/09/2023          33713901        2
     SSD-176          02/09/2023          15210391        4
     DUG-251          02/09/2023          24995742        3
     SJQ-827          02/09/2023          13245501        5
     FVQ-662          02/09/2023          90365520        5
     VXS-438          02/09/2023          98140264        1
     KJX-387          02/09/2023          84165595        6
     FEG-454          02/09/2023          94080926        5
     VJI-529          02/09/2023          50365593        6
     VJI-529          02/09/2023          89429489        3
     RDT-761          02/09/2023          32904023        4
     BRD-969          02/09/2023          15210391        3
     OQI-373          02/09/2023          29337157        4
     TZY-323          02/09/2023          98140264        3
     AFL-718          02/09/2023          69324480        1
     VVS-017          02/09/2023          50365593        6
     DFJ-952          02/09/2023          95161027        5
     JXD-139          02/09/2023          20864087        1
     AVM-258          02/09/2023          55552996        1
     QIL-029          02/09/2023          50375303        1
     JCW-489          02/09/2023          42928709        5
     RBE-789          02/09/2023          90237332        3
     PJG-338          02/09/2023          43053402        6
     DUG-251          02/09/2023          59407188        3
     KQQ-136          02/09/2023          78922174        6
     SNY-500          02/09/2023          89298238        4
     CNQ-172          02/09/2023          32821689        5
     KJX-387          02/09/2023          79372768        4
     DUG-251          02/09/2023          78078115        5
     SAM-013          02/09/2023          88956889        6
     ZEX-027          03/09/2023          50375303        5
     OTW-288          03/09/2023          43043986        1
     TXM-139          03/09/2023          52097922        6
     XBD-314          03/09/2023          52097922        2
     YUQ-590          03/09/2023          26976877        4
     FQG-293          03/09/2023          57263719        5
     OFS-384          03/09/2023          96258632        2
     DON-719          03/09/2023          23928045        2
     TZY-323          03/09/2023          99842319        2
     YYU-726          03/09/2023          95751208        4
     SAM-013          03/09/2023          59407188        1
     FLJ-040          03/09/2023          26290971        3
     JFC-432          03/09/2023          79901434        5
     TKM-141          03/09/2023          32904023        6
     ONB-903          03/09/2023          71378466        2
     HFM-021          03/09/2023          42798099        2
     AVM-258          03/09/2023          96659352        3
     MMA-577          03/09/2023          73535476        4
     FVQ-662          03/09/2023          16151792        1
     ICX-503          03/09/2023          54761731        5
     GBJ-693          03/09/2023          89429489        1
     FEG-454          03/09/2023          62566305        1
     QFP-254          03/09/2023          79901434        2
     QVJ-982          03/09/2023          37110873        6
     OTH-462          03/09/2023          52097922        4
     EBI-299          03/09/2023          73535476        5
     QHC-492          03/09/2023          33713901        1
     YMU-875          03/09/2023          69324480        3
     KQQ-136          03/09/2023          40112594        4
     TMJ-043          03/09/2023          16552775        6
     QRC-609          03/09/2023          12663268        4
     ZAF-449          03/09/2023          15561764        2
     BXY-119          04/09/2023          77191257        4
     CRU-009          04/09/2023          76388967        6
     OQI-373          04/09/2023          63437380        5
     VZV-827          04/09/2023          32565207        6
     YMU-875          04/09/2023          45783712        4
     FVQ-662          04/09/2023          91897732        2
     HLR-109          04/09/2023          25171011        4
     YYU-726          04/09/2023          91897732        2
     VVS-017          04/09/2023          50375303        5
     CRU-009          04/09/2023          31611146        4
     NSR-955          04/09/2023          69324480        5
     YGV-332          04/09/2023          88956889        3
     VXS-438          04/09/2023          85949265        4
     XLF-273          04/09/2023          69975105        5
     ZWF-661          04/09/2023          50375303        4
     AQS-362          04/09/2023          88995291        3
     OQI-373          04/09/2023          12663268        3
     VDD-853          04/09/2023          26233063        1
     JXD-139          04/09/2023          44229880        4
     YJD-279          04/09/2023          38913831        3
     JDC-028          04/09/2023          50375303        5
     EUZ-452          04/09/2023          88956889        2
     OBI-353          04/09/2023          94080926        5
     VCL-867          04/09/2023          27912250        3
     TXM-139          04/09/2023          36380447        2
     RDT-761          04/09/2023          35565959        5
     XTE-383          04/09/2023          48184351        1
     SSD-176          04/09/2023          42928709        4
     GBJ-693          04/09/2023          33397650        3
     XSD-310          04/09/2023          42928709        5
     XSD-310          04/09/2023          66409237        3
     RAH-420          05/09/2023          46462527        4
     AVM-258          05/09/2023          22280452        2
     TZY-323          05/09/2023          98589725        1
     DOV-560          05/09/2023          16151792        3
     III-576          05/09/2023          43877279        5
     DFJ-952          05/09/2023          69324480        1
     QRC-609          05/09/2023          67418025        6
     VRR-793          05/09/2023          93845419        5
     LWG-915          05/09/2023          80048864        5
     GLC-370          05/09/2023          73914283        3
     SPR-580          05/09/2023          13245501        5
     BWD-036          05/09/2023          89298238        3
     XZG-521          05/09/2023          76388967        2
     OTS-581          05/09/2023          89298238        3
     AQS-362          05/09/2023          64394265        1
     OTW-288          05/09/2023          63437380        2
     TXM-139          05/09/2023          60574154        2
     BWD-036          05/09/2023          54716824        3
     XZG-521          05/09/2023          12663268        1
     SPR-580          05/09/2023          55552996        6
     OPJ-039          05/09/2023          62566305        3
     ZWF-661          05/09/2023          13245501        5
     KBY-991          05/09/2023          42798099        1
