FECHA       DNI      CANT              CODIGO
20230830  62324793  5         XBD-314   
20230830  35565959  5         JXD-139   
20230830  32565207  4         TKM-141   
20230830  89863424  3         QRC-609   
20230830  97403853  4         GBJ-693   
20230830  96659352  3         KQQ-136   
20230830  79140840  1         OTH-462   
20230830  23928045  5         TKM-141   
20230830  48184351  2         KQA-580   
20230830  45877001  6         KBY-991   
20230830  73185299  3         AVM-258   
20230830  26290971  3         GKG-558   
20230830  85949265  5         VRR-793   
20230830  97403853  6         KQQ-136   
20230830  86402303  6         RBE-789   
20230830  96258632  2         QHC-492   
20230830  63437380  4         AWB-345   
20230830  87800799  6         GBD-525   
20230830  15210391  2         AQS-362   
20230830  19829266  3         TXM-139   
20230830  50365593  5         AFL-718   
20230831  90237332  3         QFP-254   
20230831  42798099  6         CNN-411   
20230831  81114108  5         DFF-034   
20230831  90365520  6         KBY-991   
20230831  35584593  4         SSD-176   
20230831  97403853  3         YJD-279   
20230831  46462527  6         LWG-915   
20230831  93845419  6         QIL-029   
20230831  73185299  3         OTH-462   
20230831  87800799  2         VRR-793   
20230831  64394265  5         OFS-384   
20230831  45828535  4         XSD-310   
20230831  69975105  6         TMJ-043   
20230831  86402303  6         HFM-021   
20230831  87813843  1         OQI-373   
20230831  54716824  1         UDR-957   
20230831  37110873  4         VDD-853   
20230831  25171011  6         AWB-345   
20230831  67418025  2         FEG-454   
20230831  22777006  1         FCN-617   
20230831  48467976  5         JDQ-505   
20230831  71463316  4         AWT-354   
20230831  37110873  4         QUU-384   
20230831  89148118  6         EBI-299   
20230831  45783712  2         YUQ-590   
20230831  13245501  2         QIL-029   
20230831  54716824  6         ZEX-027   
20230831  62324793  1         LDR-510   
20230901  84165595  6         HFM-021   
20230901  86241107  2         UXG-019   
20230901  79420973  5         SSE-115   
20230901  13245501  3         VXS-438   
20230901  73185299  3         QHC-492   
20230901  43043986  5         SSD-176   
20230901  22280452  3         UCX-285   
20230901  77191257  6         ZEX-027   
20230901  78922174  3         XBD-314   
20230901  49087435  2         III-576   
20230901  42798099  5         TMN-884   
20230901  17913944  1         DEN-125   
20230901  78078115  4         FQG-293   
20230901  96659352  4         ADX-669   
20230901  93160528  1         YYU-726   
20230901  77191257  5         QVJ-982   
20230901  31611146  4         FVQ-662   
20230901  89298238  4         UJV-290   
20230901  28390487  2         GLC-370   
20230901  89148118  1         AFL-718   
20230901  71984468  1         TZY-323   
20230901  40348917  1         BMJ-772   
20230901  32904023  4         DUG-251   
20230901  19829266  3         RDT-761   
20230901  16151792  6         IDO-503   
20230901  87813843  3         XSD-310   
20230901  41036366  4         QVJ-982   
20230901  43488351  6         DIQ-718   
20230901  91897732  5         XZR-640   
20230901  83236386  5         UJV-290   
20230901  79140840  4         JXD-139   
20230901  84165595  1         DFJ-952   
20230901  35565959  1         BZS-261   
20230901  50365593  3         LWG-915   
20230902  88956889  6         UWA-476   
20230902  79372768  4         GLC-370   
20230902  89863424  1         FVB-607   
20230902  15210391  4         VXS-438   
20230902  32821689  5         MTF-868   
20230902  98140264  3         CJE-310   
20230902  13245501  5         BXY-119   
20230902  94080926  5         TXM-139   
20230902  59407188  3         LYZ-614   
20230902  15210391  3         TZY-323   
20230902  84165595  6         RDT-761   
20230902  20864087  6         JDQ-505   
20230902  89429489  3         BXY-119   
20230902  88956889  4         MYC-756   
20230902  41036366  4         SJD-818   
20230902  24995742  3         DON-719   
20230902  69324480  1         DIQ-718   
20230902  37110873  1         SSD-176   
20230902  50375303  1         AFL-718   
20230902  32904023  4         QFP-254   
20230902  55552996  1         QTK-083   
20230902  90237332  3         TKM-141   
20230902  90365520  5         VDD-853   
20230902  33397650  6         VJI-529   
20230902  50365593  6         TMN-884   
20230902  79420973  3         GXF-122   
20230902  50365593  6         JDC-028   
20230902  33713901  2         UWA-476   
20230902  79372768  5         EUZ-452   
20230902  43053402  6         MMA-577   
20230902  66409237  6         AWT-354   
20230902  95161027  5         III-576   
20230902  53166028  3         TXM-139   
20230902  78922174  6         EJW-346   
20230902  78078115  5         DFJ-952   
20230902  20864087  1         JFC-432   
20230902  45783712  6         SSD-176   
20230902  77191257  2         KWP-672   
20230902  29337157  4         HFM-021   
20230902  79901434  6         OBI-353   
20230902  57263719  4         DOV-560   
20230902  98140264  1         BRD-969   
20230902  40348917  2         DFJ-952   
20230902  86828079  5         QIL-029   
20230902  79140840  5         QRC-609   
20230902  89298238  4         YOT-530   
20230902  20864087  4         BXY-119   
20230902  66409237  4         DFF-034   
20230902  42928709  5         OQI-373   
20230903  71378466  2         FVQ-662   
20230903  99842319  2         DUG-251   
20230903  26290971  3         PVZ-181   
20230903  79901434  5         CSZ-863   
20230903  40112594  4         FVQ-662   
20230903  16552775  6         AWB-345   
20230903  23928045  2         TMN-884   
20230903  69324480  3         UOD-420   
20230903  33713901  1         VVS-017   
20230903  43043986  1         ZEX-027   
20230903  16151792  1         AQS-362   
20230903  73535476  5         UWA-476   
20230903  62566305  1         AVM-258   
20230903  57263719  5         OTH-462   
20230903  52097922  6         XSD-310   
20230903  96258632  2         CRU-009   
20230903  89429489  1         UXG-019   
20230903  50375303  5         CRU-009   
20230903  52097922  2         UTN-601   
20230903  73535476  4         FLJ-040   
20230903  12663268  4         YYU-726   
20230903  96659352  3         GBJ-693   
20230903  37110873  6         FCN-617   
20230903  52097922  4         XZG-521   
20230903  42798099  2         OQI-373   
20230903  54761731  5         OTS-581   
20230903  26976877  4         VTV-269   
20230903  79901434  2         ZEX-027   
20230903  95751208  4         UOD-420   
20230903  15561764  2         GBJ-693   
20230903  32904023  6         RBE-789   
20230903  59407188  1         OWN-701   
20230904  85949265  4         JFC-432   
20230904  38913831  3         BCN-855   
20230904  45783712  4         YMU-875   
20230904  50375303  4         VXS-438   
20230904  88995291  3         MTF-868   
20230904  26233063  1         UWA-476   
20230904  44229880  4         JXD-139   
20230904  36380447  2         HLR-109   
20230904  12663268  3         RAH-420   
20230904  91897732  2         PFD-286   
20230904  31611146  4         YOT-530   
20230904  42928709  4         XLF-273   
20230904  50375303  5         KQA-580   
20230904  69975105  5         FQG-293   
20230904  50375303  5         YJD-279   
20230904  76388967  6         PFD-286   
20230904  48184351  1         TXM-139   
20230904  33397650  3         IHG-413   
20230904  25171011  4         DFJ-952   
20230904  91897732  2         TMN-884   
20230904  66409237  3         BRD-969   
20230904  77191257  4         ZWF-661   
20230904  32565207  6         IDO-503   
20230904  63437380  5         III-576   
20230904  42928709  5         QFP-254   
20230904  88956889  2         YUQ-590   
20230904  94080926  5         SPR-580   
20230904  69324480  5         JCW-489   
20230904  35565959  5         QRC-609   
20230904  88956889  3         UWA-476   
20230904  27912250  3         QFR-958   
20230905  42798099  1         AQS-362   
20230905  13245501  5         KJX-387   
20230905  13245501  5         XOA-735   
20230905  12663268  1         BMJ-772   
20230905  67418025  6         YYU-726   
20230905  69324480  1         VJI-529   
20230905  16151792  3         TZY-323   
20230905  55552996  6         UXG-019   
20230905  60574154  2         BWD-036   
20230905  22280452  2         XSD-310   
20230905  63437380  2         KQA-580   
20230905  62566305  3         CNQ-172   
20230905  46462527  4         KCO-488   
20230905  93845419  5         CIM-038   
20230905  89298238  3         JXD-139   
20230905  89298238  3         ICX-503   
20230905  73914283  3         BRD-969   
20230905  54716824  3         SPR-580   
20230905  64394265  1         YUQ-590   
20230905  98589725  1         VRR-793   
20230905  76388967  2         DOV-560   
20230905  80048864  5         RDT-761   
20230905  43877279  5         TYF-885   
